,uid,bfi_extraversion,bfi_agreeableness,bfi_consc,bfi_neuro,bfi_open,brs_total,erq_cognitive,erq_expressive,panas_positive,panas_negative,pss_total,stai_total,ryffs_autonomy,ryffs_pgrowth,ryffs_posrelations,ryffs_purpose,loneliness_total,flourishing_total,ryffs_selfacceptance,ls_total,sps_total,pgis_total,sr_total,insight_total,mindfulness_total
0,t0002@sreflect,4,4,8,8,8,2.3333333333333300,15,17,35,40,11,56.66666666666670,8,6,9,4,9,42,8,24,12,16,34,28,34
1,t0007@sreflect,2,6,5,6,7,3.1666666666666700,7,18,22,27,9,63.333333333333300,12,4,11,9,6,27,8,25,18,27,13,14,40
2,t0006@sreflect,6,8,9,9,6,3.1666666666666700,6,5,31,28,10,36.66666666666670,10,5,3,5,8,51,4,23,11,21,33,37,50
3,t0019@sreflect,3,7,7,10,7,2.8333333333333300,8,16,30,28,10,63.333333333333300,7,6,9,6,9,34,8,18,19,24,27,16,45
4,t0003@sreflect,6,5,8,4,6,3.1666666666666700,18,9,45,26,4,40.0,3,4,5,5,10,51,5,18,15,19,21,29,45
5,t0005@sreflect,2,4,4,10,8,3.1666666666666700,12,16,16,27,11,70.0,8,8,12,7,12,42,14,15,20,26,34,32,36
6,t0015@sreflect,7,5,5,6,9,3.0,12,18,37,32,9,46.66666666666670,10,7,11,7,9,37,10,15,28,21,25,18,41
7,t0004@sreflect,5,8,6,8,8,3.0,16,6,28,27,5,23.333333333333300,4,3,7,5,8,49,6,32,20,22,42,9,39
8,t0016@sreflect,10,8,9,5,4,3.0,17,3,32,13,9,46.66666666666670,10,3,4,3,6,52,4,30,13,20,31,26,52
9,t0009@sreflect,6,6,6,9,6,2.8333333333333300,15,16,30,27,8,50.0,13,5,10,5,9,40,8,17,21,20,35,19,37
10,t0008@sreflect,4,7,9,10,9,3.0,6,14,29,24,6,46.66666666666670,5,3,7,5,10,45,4,30,12,22,30,35,48
11,t0012@sreflect,5,8,6,5,3,2.8333333333333300,15,12,21,19,7,36.66666666666670,7,7,7,5,8,37,6,17,19,23,18,33,42
12,t0014@sreflect,6,8,10,7,9,2.8333333333333300,15,8,46,18,4,33.333333333333300,6,3,4,3,9,56,3,33,10,14,38,27,44
13,t0010@sreflect,5,7,8,8,6,2.8333333333333300,9,3,40,31,5,36.66666666666670,12,4,4,7,6,41,8,27,14,23,34,33,43
14,t0011@sreflect,6,7,6,5,8,2.8333333333333300,15,15,32,14,6,36.66666666666670,5,6,7,9,8,47,5,22,15,24,16,26,51
15,t0013@sreflect,7,7,7,7,7,3.1666666666666700,13,12,31,28,10,56.66666666666670,10,9,3,9,9,33,9,16,19,28,26,18,43
16,t0018@sreflect,3,6,8,8,6,2.8333333333333300,13,16,23,25,10,43.333333333333300,7,11,8,3,8,30,9,17,21,22,22,26,38
17,t0020@sreflect,3,7,6,5,7,2.6666666666666700,12,11,21,16,6,43.333333333333300,8,7,9,6,8,41,9,16,21,20,31,29,50
18,t0022@sreflect,4,6,10,6,7,3.0,15,9,45,30,6,53.333333333333300,9,3,7,3,12,45,8,26,15,17,42,26,51
19,t0017@sreflect,9,8,6,8,7,2.5,19,9,35,20,6,33.333333333333300,7,5,3,4,6,52,3,26,13,18,34,34,58